,Country,Schooling,Birthrate
0,Turkey,6.380445371,30.923
1,Bosnia and Herzegovina,7.240337461,15.108
2,MKD ¶,7.876327662,18.256
3,Portugal,7.999779182,12.573
4,Austria,8.88,4.126
5,Albania,9.050693163,15.297
6,Serbia,9.2,16.872
7,Kyrgyzstan,9.27,29.264
8,Spain,9.470814581,10.624
9,Malta,9.502172969,18.193
10,Republic of Moldova ,9.59,29.268
11,Italy,9.667352877,3.957
12,Greece,9.917759941,11.859
13,Montenegro,9.945669298,15.2
14,Tajikistan,9.98,42.812
15,Kazakhstan,10.24,29.946
16,Finland,10.33,9.211
17,Romania,10.40991463,30.955
18,Belgium,10.47,6.709
19,Azerbaijan,10.49719429,40.0
20,Croatia,10.49928369,12.736
21,Bulgaria,10.58680813,35.857
22,Cyprus,10.74932793,5.473
23,Iceland,10.76,11.488
24,Armenia,10.8,27.118
25,France,10.89831762,5.736
26,Luxembourg,10.92225771,8.349
27,Hungary,11.20684022,12.127
28,Ukraine,11.22,25.671
29,Belarus,11.40616641,20.599
30,Switzerland,11.45278341,1.9
31,Latvia,11.46793119,13.522
32,Slovakia,11.59,15.872
33,Netherlands,11.61255932,6.165
34,Russian Federation,11.68,25.727
35,Ireland,11.7,8.236
36,Sweden,11.79,6.528
37,Slovenia,11.83151274,0.617
38,Denmark,11.87756564,5.101
39,Poland,11.94316878,12.156
40,Czech Republic,12.14,4.906
41,Estonia,12.28,16.779
42,Lithuania,12.34904806,10.612
43,Germany,12.58727973,3.795
44,Israel,12.6288942,7.819
45,Norway,12.68,7.834
46,United Kingdom,12.82006784,25.758
