,country,mortality,secondary
0,Austria,4,100.0
1,Estonia,2,100.0
2,Finland,5,100.0
3,Luxembourg,20,100.0
4,Czech Republic,5,99.86576
5,United Kingdom,12,99.81787
6,Kazakhstan,51,99.25004
7,Slovakia,6,99.09493
8,Latvia,34,98.91229
9,Hungary,21,97.9
10,Norway,7,97.36273
11,Germany,7,96.28518
12,Slovenia,12,95.77733
13,Denmark,12,95.54286
14,Switzerland,8,94.99202
15,Kyrgyzstan,71,94.51886
16,Armenia,30,94.1
17,Azerbaijan,43,93.71107
18,Republic of Moldova,41,93.6488
19,Bulgaria,11,93.01004
20,Ukraine,32,91.5
21,Iceland,5,91.00462869
22,Tajikistan,65,89.93706
23,Russian Federation,34,89.59753
24,Lithuania,8,89.1177
25,Netherlands,6,87.68165
26,Belarus,4,87.00197
27,Sweden,4,86.54411
28,Romania,27,86.05882
29,Croatia,17,84.98932
30,Israel,7,84.36737
31,Montenegro,8,84.15721
32,Albania,27,81.77317
33,Ireland,6,80.51964
34,Poland,5,79.41643
35,France,8,78.01226
36,Belgium,8,77.50484
37,Cyprus,10,72.2
38,Italy,4,71.24902
39,Malta,8,68.55354
40,Spain,6,66.76213
41,Greece,3,59.50699
42,Serbia,12,58.44699
43,Portugal,8,47.70878
44,Bosnia and Herzegovina,8,44.8
45,MKD ¶,10,40.16013
46,Turkey,20,38.9821
