,country,percentage
0,France,1.7
1,Belgium,3.4
2,Czech Republic,4.3
3,Ukraine,4.9
4,Turkey,6.2
5,Serbia,6.6
6,Belarus,7.0
7,Hungary,7.0
8,Russian Federation,8.0
9,Bosnia and Herzegovina,9.0
10,Slovenia,9.2
11,Republic of Moldova,11.4
12,Kazakhstan,11.6
13,Italy,11.8
14,Spain,11.8
15,Romania,11.9
16,Georgia,12.3
17,Albania,12.9
18,Turkmenistan,13.1
19,Armenia,13.5
20,Uzbekistan,13.7
21,Azerbaijan,15.4
23,Latvia,16.8
24,MKD ¶,17.2
25,Kyrgyzstan,18.0
26,Lithuania,18.0
27,Tajikistan,22.9
28,Bulgaria,29.7
