,country,q1_gvg,q1_gvg_flags,q1_fair,q1_fair_flags,q1_bvb,q1_bvb_flags,q5_gvg,q5_gvg_flags,q5_fair,q5_fair_flags,q5_bvb,q5_bvb_flags
0,Lithuania,0.7,,33.3,,66,,12.9,,65.8,u,21.4,u
1,Portugal,4.8,,35.2,,60,,23.2,,45.3,,31.4,
2,Latvia,6.7,,41.4,,51.9,,17.2,,56.8,,26,
3,Hungary,7.8,u,36.9,,55.3,,18.8,u,52.3,,28.9,
4,Poland,8.1,,36.9,,55,,21.2,,49.2,,29.6,
5,Croatia,8.6,,25.1,,66.3,,25.3,,38.5,u,36.2,u
6,Montenegro,9.6,,10.9,,79.5,,23.3,,28.1,,48.6,
7,Estonia,9.8,,45.4,,44.8,,33.8,,47,,19.2,
8,Bulgaria,12.9,,47.2,,39.9,,26.9,,58.1,,15.1,
9,Romania,13.0,,46.4,,40.6,,24.6,,52.2,,23.2,
10,Slovenia,13.5,,43.5,,43.1,,45.9,,39.6,,14.6,
11,Czech Republic,13.7,u,47.9,,38.4,,37.1,u,50.2,u,12.7,u
12,Slovakia,13.7,,40.7,,45.6,,17.2,,36.1,,46.7,
13,Cyprus,18.3,,44.4,,37.3,,55.6,,33.7,,10.7,
14,Italy,18.9,,42.2,,38.9,,37.1,,37.5,,25.4,
15,Greece,19.6,u,37.2,,43.1,,46.8,u,30.3,,22.9,
16,Malta,25.1,,58.3,,16.6,,51.9,,40.4,,7.6,
17,Spain,25.6,,41.5,,32.9,,52.3,,29.2,,18.4,
18,Finland,27.4,,53.1,,19.5,,60.8,,37.8,,1.5,
19,France,29.7,,44,,26.3,,50.0,,39.7,,10.3,
20,Germany,31.8,,47.6,,20.6,,53.2,,37.7,,9.1,
21,Austria,33.1,,44.6,,22.4,,50.6,,33.1,,16.3,
22,Luxembourg,36.2,,37.5,,26.4,,52.8,,33.5,,13.7,
23,Belgium,37.0,,37.7,,25.3,,62.9,,27.7,,9.5,
24,Iceland,42.5,,41.2,,16.3,,59.5,,32,u,8.5,u
25,Norway,46.8,,31.9,,21.3,,85.6,,11.3,,3.1,
26,Netherlands,51.1,,37,,12,,68.5,,28.5,,2.9,
27,Denmark,52.7,,29.6,,17.7,,79.0,,18.8,,2.2,
28,United Kingdom,53.0,u,32.3,,14.7,,79.6,u,16.8,,3.7,
29,Sweden,53.4,,38.7,,7.9,,87.2,,11.8,,1,
30,Switzerland,57.0,,34.8,,8.2,,81.4,,15,,3.5,
31,Ireland,59.8,,28.9,,11.3,,71.7,,20.6,,7.7,
