country,Anxiety,Feeling vulnerable,Loss of self-confidence,Difficulties in relationships,Difficulty in sleeping,Depression,Panic attacks,Concentration difficulties
Austria,46,39,37,32,38,21,19,20
Belgium,29,31,36,36,32,20,15,15
Bulgaria,43,30,36,24,21,28,24,11
Croatia,40,49,32,18,31,30,20,23
Cyprus,48,27,24,23,26,24,24,21
Czech Republic,35,33,22,17,19,17,10,7
Denmark,23,46,37,38,21,13,8,16
Estonia,32,30,34,42,28,35,17,10
Finland,34,34,34,29,22,23,7,12
France,30,28,34,28,32,22,15,13
Germany,36,43,33,45,28,20,13,13
Hungary,43,40,31,23,23,19,10,13
Ireland,35,49,55,31,36,33,18,18
Italy,38,22,19,8,18,15,11,8
Latvia,48,16,16,30,15,17,16,8
Lithuania,38,28,32,14,26,22,22,14
Luxembourg,36,39,51,31,45,35,28,28
Malta,28,36,35,37,27,23,17,17
Netherlands,28,42,37,39,23,21,11,15
Poland,52,44,47,20,37,34,26,27
Portugal,33,28,23,13,32,34,17,10
Romania,44,27,36,24,33,24,22,22
Slovakia,41,46,28,19,22,24,9,9
Slovenia,34,47,30,32,34,28,15,12
Spain,39,26,35,26,28,30,14,18
Sweden,19,31,18,33,19,15,10,9
United Kingdom,29,40,55,30,30,34,14,15
