,country,gni,life_expectancy
3,Austria,47060,83.63
6,Belgium,45840,82.99
8,Bulgaria,6320,77.42
9,Croatia,13550,80.01
10,Cyprus,28570,84.46
11,Czech Republic,18370,80.98
13,Estonia,14180,80.84
14,Finland,47140,83.66
15,France,42280,85.42
16,Georgia,2680,79.01
17,Germany,43300,83.09
18,Greece,26410,82.93
19,Hungary,12930,78.62
21,Ireland,42810,83.03
22,Israel,26260,84.14
23,Italy,35520,85.04
24,Kazakhstan,7440,73.53
25,Kyrgyzstan,840,73.69
26,Latvia,11850,78.4
27,Lithuania,11620,78.97
28,Luxembourg,71690,83.94
29,Malta,18620,83.62
32,Netherlands,48530,83.1
33,Norway,86850,83.46
34,Poland,12400,80.83
35,Portugal,21870,83.27
36,Republic of Moldova,1820,73.5
37,Romania,8010,77.62
38,Russian Federation,10000,74.99
40,Serbia,5550,77.03
41,Slovakia,16030,79.4
42,Slovenia,23910,83.21
43,Spain,31420,85.43
44,Sweden,50860,83.74
45,Switzerland,73680,85.02
47,MKD ¶,4580,77.28
48,Turkey,9980,79.63
50,Ukraine,2990,75.26
51,United Kingdom,38690,82.73
