,country,female,male
0,Turkey,29.39999962,70.80000305
1,Bosnia and Herzegovina,34.09999847,57.20000076
2,Republic of Moldova,37.0,43.29999924
3,Malta,38.0,66.5
4,Italy,39.40000153,59.40000153
5,MKDa,42.90000153,67.30000305
6,Greece,44.20000076,62.59999847
7,Hungary,44.70000076,59.90000153
8,Croatia,44.79999924,58.5
9,Albania,45.0,65.40000153
10,Turkmenistan,46.70000076,76.5
11,Belgium,46.90000153,59.40000153
12,Bulgaria,47.79999924,58.79999924
13,Uzbekistan,47.90000153,75.19999695
14,Romania,48.5,64.69999695
15,Poland,48.90000153,64.80000305
16,Belarus,49.90000153,62.70000076
17,Czech Republic,50.09999847,67.80000305
18,Luxembourg,50.70000076,64.90000153
19,France,50.90000153,61.79999924
20,Slovakia,51.0,68.69999695
21,Armenia,51.59999847,73.40000153
22,Slovenia,52.29999924,63.5
23,Spain,52.59999847,66.5
24,Ireland,52.70000076,67.90000153
25,Ukraine,53.0,66.59999847
26,Germany,53.5,66.40000153
27,Latvia,54.5,67.09999847
28,Austria,54.59999847,67.69999695
29,Portugal,55.40000153,67.19999695
30,United Kingdom,55.70000076,68.80000305
31,Kyrgyzstan,55.70000076,79.0
32,Lithuania,55.79999924,66.30000305
33,Cyprus,55.79999924,70.80000305
34,Finland,56.0,64.30000305
35,Estonia,56.0,68.69999695
36,Georgia,56.20000076,74.69999695
37,Russian Federation,57.0,71.40000153
38,Israel,58.09999847,69.5
39,Tajikistan,58.70000076,76.90000153
40,Denmark,59.09999847,67.5
41,Sweden,60.20000076,68.09999847
42,Switzerland,61.20000076,75.30000305
43,Norway,61.5,69.5
44,Azerbaijan,62.5,68.90000153
45,Kazakhstan,67.5,77.5
46,Iceland,70.59999847,77.30000305
47,Netherlands,79.90000153,87.30000305
