,country,percent,note
22,Slovenia,3.2,
16,Malta,5.1,
19,Poland,6.4,(p)
10,Italy,7.3,
9,Croatia,7.4,(p)
14,Luxembourg,8.6,(p)
21,Romania,9.1,(e)
1,Belgium,9.8,
20,Portugal,13.0,
13,Lithuania,13.3,
2,Bulgaria,13.5,
12,Latvia,14.4,
25,Sweden,15.2,
8,France,15.2,(p)
11,Cyprus,15.8,
17,Netherlands,16.0,
28,Norway,16.0,
4,Denmark,16.4,
15,Hungary,18.4,
24,Finland,18.7,(p)
7,Spain,19.3,(p)
29,Switzerland,19.3,
26,United Kingdom,19.7,
23,Slovakia,19.8,
27,Iceland,20.5,
5,Germany,21.6,(p)
3,Czech Republic,22.1,
18,Austria,23.0,
6,Estonia,29.9,
