,Country,Percentage
0,Netherlands,12.6
1,Finland,13.6
2,Czech Republic,14.7
3,Slovenia,15.4
4,Norway,16.2
5,Switzerland,16.8
6,Germany ,17.3
7,Iceland,17.5
8,Estonia,18.6
9,Sweden,19.2
10,Denmark,19.3
11,Slovakia,20.6
12,Belgium,20.7
13,France,21.0
14,Luxembourg,24.4
16,Spain,25.5
18,Cyprus,27.1
19,Lithuania,27.4
20,Malta,28.0
21,Poland,28.1
22,Latvia,28.3
23,Portugal,28.8
24,Italy,29.1
25,Austria,29.4
26,Croatia,30.0
28,Greece,32.9
29,Ireland,33.8
30,United Kingdom,33.9
31,Serbia,38.9
32,Romania,40.3
33,Hungary,43.5
34,MKD ¶,45.2
35,Bulgaria,54.4
