,country,female,male,gap
47,Spain,127,25,-102
42,San Marino,108,10,-98
44,Germany ,112,31,-81
43,France,109,28,-81
36,Switzerland,100,56,-44
6,Ireland,53,17,-36
46,Belgium,118,84,-34
22,United Kingdom ,85,54,-31
27,Estonia,91,62,-29
19,Republic of Moldova,79,52,-27
33,Italy,97,77,-20
32,Iceland,96,80,-16
30,Slovenia,93,78,-15
24,Luxembourg,89,77,-12
45,Malta,113,103,-10
37,Ukraine,100,92,-8
40,Austria,103,95,-8
31,Sweden,95,87,-8
34,Norway,99,92,-7
38,Belarus ,101,95,-6
41,Israel,103,99,-4
25,Russian Federation,90,88,-2
28,Netherlands,91,91,0
3,Uzbekistan,25,25,0
16,Poland,78,78,0
13,Finland,70,71,1
35,Denmark,100,106,6
23,Hungary,87,93,6
29,Latvia,92,99,7
8,Serbia,56,64,8
17,Romania,78,88,10
21,Portugal,85,99,14
20,Bulgaria,85,104,19
18,Greece,79,98,19
9,Armenia,60,79,19
12,Albania,69,94,25
39,Czech Republic,101,128,27
26,Slovakia,90,118,28
1,Bosnia & Herzegovina,16,44,28
7,Kazakhstan,54,86,32
14,Lithuania,75,110,35
15,Cyprus,77,113,36
11,Croatia ,62,103,41
10,Montenegro,60,104,44
0,Tajikistan,8,69,61
4,MKD ¶,29,104,75
2,Azerbaijan,25,104,79
5,Turkey,30,119,89
